time,N,H,I,N_stoch,H_stoch,I_stoch
33.300000000000004,3.660161610068435,39.297556349341235,16.560293885957012,3.669174527856114,39.11969121434365,16.51908955579631
33.4,3.6505023675650112,39.088393349522185,16.512685121846385,3.652687980457192,38.911953028593025,16.471689262271017
33.5,3.6411286002070646,38.8808381465265,16.465297733232873,3.6433146732033888,38.70546789732995,16.4245093087166
33.6,3.632031870476146,38.67488873480063,16.418133548495298,3.626321031042009,38.500578952016824,16.37753785481846
33.7,3.623203986448953,38.470542723616134,16.37119430570227,3.613286736298648,38.296889214048754,16.330779214146798
33.800000000000004,3.614637011248273,38.26779731605558,16.32448164891871,3.6068614553729836,38.0945846587232,16.2842213457905
33.9,3.6063232233567257,38.066649396165715,16.277997143023967,3.6059624465964015,37.89398188490462,16.237862087759076
34.0,3.598255151126021,37.867095453243856,16.231742260831304,3.6016337188064824,37.695340188385394,16.191712605933457
34.1,3.5904255206678988,37.66913169549874,16.185718401070822,3.579093319990252,37.498468472441864,16.145792738814148
34.2,3.582827293160779,37.4727539687827,16.139926875757002,3.5736455046059663,37.30243845371696,16.100111470805892
34.300000000000004,3.5754536267014316,37.27795783920653,16.094368923921415,3.5668917197866183,37.108096344410086,16.054639390030605
34.4,3.5682978790651934,37.084738587151456,16.04904571063573,3.5625026401994093,36.915359966955315,16.00938642323694
34.5,3.5613536176772977,36.8930911858668,16.003958323118354,3.5658493685342942,36.72433149929573,15.964357757323981
34.6,3.554614600331647,36.70301034304594,15.959107777492363,3.5458248228575773,36.535380652729486,15.9195620579168
34.7,3.54807476541763,36.51449052043118,15.914495020905497,3.5357116118591883,36.34731808734507,15.875021572577905
34.800000000000004,3.541728222300938,36.32752595609216,15.87012093594824,3.533377483231056,36.16063048706458,15.83070742283397
34.9,3.5355692416211637,36.14211068525952,15.825986343830047,3.517373277460443,35.97569305635549,15.786615543437192
35.0,3.5295922683174843,35.958238510763024,15.782092001651472,3.5211868005410425,35.79180478966496,15.74275788095839
35.1,3.5237919425217363,35.77590295622408,15.738438597786763,3.5178808882994486,35.609946081795364,15.699116575838225
35.2,3.51816304304379,35.59509739069629,15.695026767227613,3.5176987289022428,35.42974066539238,15.655716364163673
35.300000000000004,3.512700500234359,35.41581499962292,15.651857088973244,3.5085568022630853,35.25132819518357,15.612562970941202
35.4,3.507399399366275,35.23804877611111,15.60893008380209,3.5084467916700652,35.07424275334488,15.569667041576405
